feature,coefficient,odds_ratio,absolute_coefficient
discharge_disposition_Discharged/transferred/referred to this institution for outpatient services,-0.7814769866165663,0.457729451519439,0.7814769866165663
discharge_disposition_Left AMA,-0.1236470466833727,0.8836916877578892,0.1236470466833727
discharge_disposition_Missing,-0.18043207990121335,0.8349093858991784,0.18043207990121335
discharge_disposition_Neonate discharged to another hospital for neonatal aftercare,-0.6110208358520445,0.5427964800453519,0.6110208358520445
discharge_disposition_Not Mapped,-0.6822849373678596,0.505460725769983,0.6822849373678596
discharge_disposition_Still patient or expected to return for outpatient services,1.2779662443644475,3.5893324723607147,1.2779662443644475
admission_source_Clinic Referral,-0.0713590510531221,0.9311275097880385,0.0713590510531221
admission_source_Court/Law Enforcement,0.174366361666197,1.1904916364352247,0.174366361666197
admission_source_Emergency Room,-0.03793747885714469,0.962773132686116,0.03793747885714469
admission_source_Extramural Birth,-0.14709297793580273,0.8632137138557362,0.14709297793580273
admission_source_HMO Referral,0.16598063737847038,1.1805502429544228,0.16598063737847038
admission_source_Missing,-0.16948571440358867,0.8440988128492034,0.16948571440358867
admission_source_Normal Delivery,-0.07928059352739397,0.9237806811959237,0.07928059352739397
admission_source_Not Available,0.20848341787303806,1.2318085038865834,0.20848341787303806
admission_source_Not Mapped,0.4735097805769407,1.6056196881114582,0.4735097805769407
admission_source_Physician Referral,0.04965703626803601,1.050910610337857,0.04965703626803601
admission_source_Sick Baby,-0.07012003319837219,0.9322819084102842,0.07012003319837219
admission_source_Transfer from Ambulatory Surgery Center,-0.1346456717910443,0.8740255487354897,0.1346456717910443
admission_source_Transfer from a Skilled Nursing Facility (SNF),-0.2494816150840217,0.7792046063087956,0.2494816150840217
admission_source_Transfer from a hospital,-0.059355706958662366,0.942371501431399,0.059355706958662366
admission_source_Transfer from another health care facility,-0.0031320877225781384,0.9968728121472306,0.0031320877225781384
admission_source_Transfer from critial access hospital,-0.4638078570871707,0.6288843785353071,0.4638078570871707
admission_source_Transfer from hospital inpt/same fac reslt in a sep claim,0.16436278224813325,1.1786418278730693,0.16436278224813325
